CommentId,VideoId,CommentDate,CommentLikes,Text
Ugz05yi9Q5pTuj8zEAB4AaABAg,5vF4si3hoRA,2018-04-02T00:42:08Z,1,"Me:meh
*sees taco bell* *IM COMING OVER THERE RIGHT NOW!!!*"
UgzNpCiFPN0b86yPWNR4AaABAg,5vF4si3hoRA,2018-03-29T04:27:21Z,13,This is why we need Ar-15s and large capacity magazines.
UgzHiTJpcabrtTKDJXJ4AaABAg,5vF4si3hoRA,2018-03-12T03:14:03Z,4,Why were protesters throwing stuff at the reporters
UgxuMIjgbTBNrx6ePW54AaABAg,5vF4si3hoRA,2018-01-13T02:32:27Z,1,CNN is responsible for this
UgwQENUpwnoBHaR-SfB4AaABAg,5vF4si3hoRA,2017-10-31T01:15:28Z,0,....
Ugg12m2gtUmq2ngCoAEC,5vF4si3hoRA,2017-07-18T16:12:38Z,1,"CNN you had a large part in this by helping to spread lies about Michael Brown the ""gentle giant"" and other bullshit like ""hands up don't shoot"". You didn't ignite the fire of racial tensions but just as soon as you saw the blaze, you drove a gas tanker up to it and gleefully began spraying fuel.

How the fuck do you people live with yourselves? Or are you just really that fucking stupid to believe that what you're doing is right? Even today you're pushing this Trump/Russia narrative that has zero basis in reality (and no I'm not a Trump supporter, fuck Trump). You've helped lend credibility to violence and racist organizations like BLM. Honeslty at this point I hope we get this war you're helping to create and all of these morons are clamoring for.

 Let this place fall pieces so we can take out the trash. It's going to be educated, well armed and self-reliant people vs a mob of gun-hating government check cashing parasites. Once all of the stores are looted and new supplies don't arrive and people have to fend for themselves, tell me what happens then? The people that either prepared and/or understand how to feed themselves will weather the storm. The angry ""protesters"" will realize just how good life was and what they actually had."
Ugj9ch-N91ronHgCoAEC,5vF4si3hoRA,2017-07-12T17:41:14Z,0,"""Dirty cops and toilets""...ok I know this was a very bad and dangerous riot that happend but that sign was kinda funny"
Ugj8O6Ik12PfT3gCoAEC,5vF4si3hoRA,2017-05-12T05:31:50Z,0,Darren  seals dead
Ugjl8t8V4c-km3gCoAEC,5vF4si3hoRA,2017-05-12T05:31:25Z,0,A lot of these  protesters  are dead  now.
UgiZKRFQkeWhy3gCoAEC,5vF4si3hoRA,2017-05-12T05:30:36Z,0,Ferguson  the movie
UggoTdW-kgllGXgCoAEC,5vF4si3hoRA,2016-11-21T03:46:40Z,0,that dirty cops and toilets sign will make a difference
UgiaY_GLZCI-gXgCoAEC,5vF4si3hoRA,2016-11-21T03:44:58Z,1,why the fuck would they burn buildings... the owners of those buildings did nothing yet they burn them down....
Ugjt_WGmDjW3r3gCoAEC,5vF4si3hoRA,2016-09-28T06:34:08Z,2,Looks like Akira's tear gas scene...
UggokQtSRKASJHgCoAEC,5vF4si3hoRA,2016-07-19T00:22:26Z,25,"""Peaceful protests."""
UgiYXctsoQ_XiHgCoAEC,5vF4si3hoRA,2016-04-23T23:06:56Z,1,that bitch got clocked with a rock damn
UghHGemn0z2ZDHgCoAEC,5vF4si3hoRA,2016-04-10T19:25:12Z,24,This the stupidest riot event I've seen all my life there was no point in this. just to steal and commit acts of destruction/violence
UgiCx7F3E_tIengCoAEC,5vF4si3hoRA,2015-07-20T14:40:56Z,0,"СNN logic: Maidan - peacefull good protestors (with nazi flag, burning police). Ferguson - bad criminals (african civilists). Whole CNN should be hit by a rock 1:20."
Ugjr_A8gZbIS4HgCoAEC,5vF4si3hoRA,2014-11-28T11:00:44Z,1,Its great that they're prostesting but the way they're doing it is so wrong.
Ugjp-euH3MMu0XgCoAEC,5vF4si3hoRA,2014-11-28T10:42:55Z,0,I challenge all who are upset at  the grand jury's decision not to indict to do one thing  that that is very easy - BOYCOTT BLACK FRIDAY and any other shopping days if you can  !!! . The procedure is simple - JUST STAY HOME . YOU DONT EVEN HAVE TO MARCH !!! . Think of the kind of message our  collective actions will send. 
Ugit2M5d2eQmO3gCoAEC,5vF4si3hoRA,2014-11-27T11:39:11Z,0,she made somebody send that little pebble at her head i can tell
Ugjw8j1ccluDnngCoAEC,5vF4si3hoRA,2014-11-26T20:11:00Z,0,"I'm sorry, but n another video of the Brown Family clearly shows their outrage and hate for the city.  Michael Browns step-father screamed out to ""burn this bitch down""  they incited this riot, I saw nothing from the Browns about peace, they are the sole cause of this discord and tragedy along with the mob mentality that they seem to all have.  I only heard what Benjamin Crump stated FOR his client, apparently this was HIS plead for peace and no violence, however his Clients clearly showed they did not share the same opinion."
UgiTGy7BpATRg3gCoAEC,5vF4si3hoRA,2014-11-26T20:06:34Z,1,We need to come togather
UgjEjRJ5qQs9cngCoAEC,5vF4si3hoRA,2014-11-26T19:46:46Z,6,"""That is what community looks like""? WTF?"
UgisuPXbPLnIOHgCoAEC,5vF4si3hoRA,2014-11-26T09:48:49Z,0,"The US government is the terrorist number one in the world.
Your government is very suit you 11/09/2001 terrorist attacks, blowing up several buildings, playing the terrorist act.

They control you, and try to control the whole world, for example, listen to phone German Chancellor Merkel, or, as says Jen  Psaki  that you allow peaceful demonstrations, pickets and so on, but in fact, the police simply lawlessness behaves inappropriately, does not think his head. When you have unrest began, it became immediately clear what your ""democracy""."
UggCpuG9rkiIhHgCoAEC,5vF4si3hoRA,2014-11-26T09:18:36Z,1,It be funny when the white ppl stuck together n protest back.. I want see how crazy it will get
UgjDbvsTSk3YqngCoAEC,5vF4si3hoRA,2014-11-26T09:15:40Z,59,Dont call peacefully protest.. When you burn down a car lol
Ugi6ORpBZPqOZngCoAEC,5vF4si3hoRA,2014-11-26T02:10:39Z,150,"Sorry, just got hit by a rock."
UgjTdFn9GIs9dngCoAEC,5vF4si3hoRA,2014-11-26T01:49:58Z,3,"And in this section ladies and gentlemen, you will see black people misbehaving. I wonder what would happen if everyone rioted when court decisions do not go their way."
Ugg4GbL-nIsIJHgCoAEC,5vF4si3hoRA,2014-11-25T23:57:44Z,0,it is the final russian notice ! go home from ukrain!
Ugh79Qc3dbNIKHgCoAEC,5vF4si3hoRA,2014-11-25T22:46:41Z,15,i just came here to read the racist comments lol
UghgodCTxazPFHgCoAEC,5vF4si3hoRA,2014-11-25T21:06:39Z,4,I cracked up when the reporter got hit with the rock. lol
Ugj62JaTNPqqsHgCoAEC,5vF4si3hoRA,2014-11-25T20:26:21Z,1,Ferguson U NEED TO CHILL....COPS OF FERGUSON U NEED TO CHILL MAN IF GODZILLA WAS MY PET ID LET HIM STOMP ON WHO EVER IS THROWING THE SHIT AT THE REPORTERS THEY DIDNF DO SHIT AND IF YOUR FROM FERGUSON AND UR ONE OF THE ROITED PEOPLE FUCK.YALL GO TO HELL AND JUST CALM YO ASSES DOWN 
UghX2ANmX2hlLngCoAEC,5vF4si3hoRA,2014-11-25T17:34:21Z,0,"Kill all those Mother Fuckers.
Stupid species. "
UgjAUUldm1gSdHgCoAEC,5vF4si3hoRA,2014-11-25T17:22:44Z,41,"PANTS UP!
DON'T LOOT!"
Ughj5vsa86lU4ngCoAEC,5vF4si3hoRA,2014-11-25T16:30:59Z,1,Someone hit her with a rock! Wth
Ugj11jwOGkRFjngCoAEC,5vF4si3hoRA,2014-11-25T16:02:40Z,0,That reporter is one tough chick. 
UghzXm6KuFRXiXgCoAEC,5vF4si3hoRA,2014-11-25T15:51:04Z,17,sure some of the people protesting are actually protesting for what they believe in but then you have those people that are taking advantage of a sad situation just to cause so much chaos and damage to a hurting community
UggdV0x0qxlYeHgCoAEC,5vF4si3hoRA,2014-11-25T15:47:38Z,0,"*<Whoop!> <Whoop!>*
Move along!, people!, Move along!"
UgiPIKSQmdvTUXgCoAEC,5vF4si3hoRA,2014-11-25T15:36:46Z,17,That's why these fools can't have nice things.
UgiVdLu_5R69lHgCoAEC,5vF4si3hoRA,2014-11-25T14:59:41Z,1,This has to stop they need to send in the marines to handle it set some order  
Ugi4gqqIN_GfD3gCoAEC,5vF4si3hoRA,2014-11-25T14:56:37Z,8,Stupid fucking people supporting a criminal that was gun down. And look all that shit their doing they are destroying the whole town and at the end for what? Nothing is going to change if you are a criminal and you not complying with the police you will get gun down.
UggOmLLzA9PQZHgCoAEC,5vF4si3hoRA,2014-11-25T14:53:09Z,0,美國之春???????????
Ugh4aUTdaLJVyngCoAEC,5vF4si3hoRA,2014-11-25T14:42:22Z,32,Why throw stuff at reporters?
UgjizlmssjxztHgCoAEC,5vF4si3hoRA,2014-11-25T14:34:51Z,1,"""...the aftermath of the grand jury not to indict..."" No, it's just assholes being assholes."
Ugg1jVSwALVBK3gCoAEC,5vF4si3hoRA,2014-11-25T14:23:59Z,0,That is true imgutc2
Uggu3FGU8Enqn3gCoAEC,5vF4si3hoRA,2014-11-25T14:15:32Z,0,Is that reporter pregnant? 
UgjA9JRh2s6jUXgCoAEC,5vF4si3hoRA,2014-11-25T14:15:24Z,0,Now why not kill the cops?Why not throw molotov cocktails at the cops?Why not burn the police station down and city hall?Why burn mom&pop stores?Idiots don't even know who their enemies are.Kill the pigs every last one of them and all the cnn staff which are cia ran.Operation mockingbird
Ugitm0zU8oeP23gCoAEC,5vF4si3hoRA,2014-11-25T14:07:10Z,13,You ruin your message when you tear up your own community 
UgiiOfsgu5OtbXgCoAEC,5vF4si3hoRA,2014-11-25T14:05:55Z,7,"The worst that black people have to show us, but there are extremely bad people in the white race , as well.  There are lots of good people in every race. Good people see how re-acting violently is immoral.  It is the same as a man kicking his dog or beating his wife after something goes wrong at work. Just very wrong."
Ugh7szFqFwfZCXgCoAEC,5vF4si3hoRA,2014-11-25T14:04:41Z,6,"If you have been paying close attention to cnn coverage of this riot, you should have got GEICO insurance. You save 15% in 15 minutes. What a joke; insurance commercials before news coverage of a riot. We really deserve this shit. "
UgjjYTUZ2eZy6HgCoAEC,5vF4si3hoRA,2014-11-25T14:00:37Z,16,PANTS UP DONT LOOT
UgjGsvJld2gH7HgCoAEC,5vF4si3hoRA,2014-11-25T13:59:36Z,0,Black people looting is not news anymore !
UgivZHl9peVuJngCoAEC,5vF4si3hoRA,2014-11-25T13:52:46Z,0,FAKE!
Ugj4L849AaTXnXgCoAEC,5vF4si3hoRA,2014-11-25T13:47:25Z,40,All the black people that work at the places they burn down lost their jobs how is destroying your town going to solve anything !!!!!!!!!
UgiWz6nN3YKJxngCoAEC,5vF4si3hoRA,2014-11-25T13:43:14Z,7,Get your green cards now!
UghNJiEAQavOKHgCoAEC,5vF4si3hoRA,2014-11-25T13:40:25Z,3,"PEACE  people PEACE , NO VIOLENCE
I know it's hard to hear the verdict but peace.
I hope the make up of the police department in Ferguson will change, also other things in order for something like this not to happen again, and  to HAVE PEACE."
Ugg38tK1ZH9uSngCoAEC,5vF4si3hoRA,2014-11-25T13:35:36Z,1,Why? Burning build stealing Shit... WTF
UgiD7GUChV3NW3gCoAEC,5vF4si3hoRA,2014-11-25T13:32:55Z,0,"Difference would be made if they had this much interest in educating their younger,  and not making them into gangsters.  "
Ugjo2hwYg7m21ngCoAEC,5vF4si3hoRA,2014-11-25T13:27:12Z,10,"Why the attack on BUSSINES ???

Did the verdict came from  McDonalds. Target..burger king?

I think they are protesting in the wrong place.

Just my opinion of course."
UgiV79Fmjmu9JngCoAEC,5vF4si3hoRA,2014-11-25T13:22:25Z,16,don't they now have to replace the police cruisers with their tax dollars?
Ugi2zpJdFVN5jngCoAEC,5vF4si3hoRA,2014-11-25T13:15:51Z,135,Non violence? Tell it to the owners of those stores!
Ugi0mR9gRGtwG3gCoAEC,5vF4si3hoRA,2014-11-25T13:14:27Z,49,"At the very beginning of this video, did I hear them chanting ""This is what community looks like""! WTF!
Look, I know that not everyone in that community wants to see the place burn. I know there has to be some good people out there that hate seeing this kind of stupidity. But when a good majority of the citizens decide to burn, loot, and therefore destroy their own community, I say, ""Fine! Let them!"" Let's see how well it pays off for them in the future. You know the old saying: ""You made your bed, and now you have to lie in it!"""
